DS1097,None,A:S1,S1/S3 Production Magnet,100021097
MFC003,MFC003,A:FC2,8-Pole Fast Corrector Production Magnet,100008003
DQ558,DQ558,A:Q5,Q5 Production Magnet,100015058
MFC002,MFC002,A:FC1,8-Pole Fast Corrector Production Magnet,100008002
DQ445,DQ445,A:Q4,Q4 Reverse Bend Quadrupole Magnet,100014045
DQ180,DQ180,A:Q1,Q1 Production Magnet,100011080
DS1086,None,A:S3,S1/S3 Production Magnet,100021086
SQ252,SQ252,A:Q2,Q2 Production Magnet,100012052
Unit: 0003,DLMA-03,A:DLMA:BUSBAR,DLM A BUS BAR ASSEMBLY,38668
ES2045,ES2045,A:S2,S2 Sextupole Magnet,100022045
SQ314,None,A:Q3,Q3 Production Magnet,100013014
003,003,A:DLMA:SUPP,DLMA Support Assembly,31849
DM141,DM141,A:M1,M1 Production Magnet,100001041
